> print(m) # show metrics for each run
        MAE     RMSE
1  1.255555 1.911662
2  1.198427 1.815990
3  1.215485 1.848012
4  1.193881 1.865498
5  1.216281 1.823029
6  1.222293 1.867977
7  1.180736 1.761220
8  1.170528 1.776159
9  1.208385 1.825591
10 1.202502 1.835499
11 1.201716 1.782061
12 1.222327 1.841858
13 1.245643 1.879573
14 1.253281 1.892760
15 1.202366 1.833461
16 1.217757 1.861142
17 1.233122 1.912551
18 1.218675 1.804543
19 1.213777 1.846243
20 1.237389 1.892202

RF MAE values: 1.22 +- 0.01 


